"id","game_uid","game_name","vendor","game_type","game_icon","description","is_active","created_at","updated_at"
2406,"0ff664578bfb50141faf64a66c348c7e","Minesweeper XY","bgaming","Casual","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2407,"538f2edc211771749b64250e35d78192","Plinko XY","bgaming","Casual","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2409,"6fc7ef26506ef3b13198d4bd96982dec","Clover Bonanza","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2410,"9ba70f6585cc9f2a63629bae2f3c4c6a","Aztec Magic Bonanza","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2411,"bee501170b0ca23237863675aa164c7c","Aztec Magic Megaways","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2412,"7cdeb5f832384a97e6544ca86e918734","Space XY","bgaming","Crash","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2413,"0dcf130d571ab41d0cf1e4236daaa041","Gift Rush","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2414,"b501a4676ec6334c28b5ed9f7628577b","Bonanza Billion","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2415,"07eebacc4d38cc64ff241aa7bbb44ced","Road 2 Riches","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2416,"3c3d16bd5de830f417e9dc0fe453031b","Lucky Dama Muerta","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2417,"0365a29dce7b1b0aeef2746222eca571","Candy Monsta","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2418,"b99dcebc4914fb3ee188ccb553c56609","Miss Cherry Fruits","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2420,"0130408795db8977e89b3780debe7ed6","Aloha King Elvis","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
2421,"1cf4882a138653735ae2d841472f5574","Dig Dig Digger","bgaming","Video Slot","",NULL,True,"2026-09-11 16:56:00.492+05:30","2026-09-11 16:56:00.492+05:30"
